Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Package,MPN,Purchasing Link,MFN,PurchasingLink,PurchasingLink2,MPN2
29,4.5V - 17V Input 1A Synchronous Buck Converter,TPS561201,U2,TPS561201,SOT-23-6_OEM,1,http://www.ti.com/lit/ds/symlink/tps561201.pdf,Value,TPS561201,,Digi-Key,https://www.digikey.com/products/en?keywords=296-46928-1-ND,,
30,"Two pin crystal, two ground/package pins (pin2 and 3) small symbol",Crystal_SMD,Y1,Crystal_SMD,Crystal_SMD_FA238,1,https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238V_en.pdf,Value,SER3686CT-ND,,Digi-Key,https://www.digikey.com/products/en?keywords=SER3686CT-ND,,





Component Groups:,30
Component Count:,77
Fitted Components:,77
Number of PCBs:,1
Total components:,77
Schematic Version:,
Schematic Date:,
BoM Date:,2/19/2018 1:06:32 PM
Schematic Source:,C:/Users/ljordan/Desktop/Olin/Formula/2017-18/MK_III-Boards/boards/AIR_Control_Board/AIR_Control_Board.sch
KiCad Version:,Eeschema 4.0.7
