Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Package,MPN,MFN,PurchasingLink,PurchasingLink2,MPN2
1,CAP CER 10UF 10V X5R 0805,C_10uF,C1,C_10uF,C_0805_OEM,1,http://datasheets.avx.com/cx5r.pdf,Value,478-5167-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/avx-corporation/0805ZD106KAT2A/478-5167-1-ND/1913257,,
2,LED_0805,LED_0805,D1,LED_0805,LED_0805_OEM,1,http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf,Value,475-1410-1-ND,Digi-Key,https://www.digikey.com/products/en?keywords=475-1410-1-ND,,
3,Ultrafit 4 Pin Connector,Ultrafit_4,J1,Ultrafit_4,Ultrafit_4,1,http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987651-1008.pdf,Value,WM11574-ND,Digi-Key,https://www.digikey.com/products/en?keywords=WM11574-ND,https://www.digikey.com/product-detail/en/molex-llc/1722561004/WM11564-ND/5291228,WM11564-ND
4,,SEGMENT_12BAR_BICOLOR,LED1 LED2,SEGMENT_12BAR_BICOLOR,SEGMENT_BICOL_BL-AR12Z3010,2,,,,,,,
5,Res 10k 1%,R_10k,R2 R3,R_10k,R_0805_OEM,2,http://www.bourns.com/data/global/pdfs/CRS.pdf,Value,CRS0805-FX-1002ELFCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND,,
6,Resistor 500Ohm 0.1% Tolerance,R_500,R1,R_500,R_0805_OEM,1,http://www.vishay.com/docs/60057/pnm.pdf,Value,541-1905-2-ND,Digi Key,https://www.digikey.com/product-detail/en/vishay-dale/PNM0402E5000BST1/541-1905-2-ND/4341867,,
7,,HT16K33,U1,HT16K33,SOP28,1,,,,,,,





Component Groups:,7
Component Count:,9
Fitted Components:,9
Number of PCBs:,1
Total components:,9
Schematic Version:,
Schematic Date:,
BoM Date:,Wed 21 Feb 2018 10:12:43 PM EST
Schematic Source:,/home/lanfenson/MK_III-Boards-master/boards/dashboard/Backpack/Backpack.sch
KiCad Version:,Eeschema 4.0.7-e2-6376~58~ubuntu16.04.1
