Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Package,MPN,MFN,PurchasingLink,PurchasingLink2,MPN2
32,"Low Cost, Low Power, Instrumentation Amplifier, DIP-8/SOIC-8",AD623,U5,AD623,AD623_SOIC-8,1,http://www.analog.com/media/en/technical-documentation/data-sheets/AD620.pdf,,,,,,
33,"High-Speed CAN Transceiver, 1Mbps, 5V supply, SPLIT pin, -40C to +125C, SOIC8 package",CAN_Transceiver,U2,CAN_Transceiver,SOIC-8_3.9x4.9mm_Pitch1.27mm_OEM,1,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en561044,Value,MCP2561-E/SN-ND,Digi-Key,https://www.digikey.com/products/en?keywords=mcp2561-e%2Fsn,,
34,,LTC6820,U7,LTC6820,LTC6820_OEM,1,,,,,,,
35,"10 MHz, 850 µA Op Amps, SOT-23-5",MCP6001,U6,MCP6001,SOT-23-5_OEM,1,http://ww1.microchip.com/downloads/en/DeviceDoc/22141b.pdf,,,,,,
36,Single Schmitt-Trigger Buffer,SN74LVC1G17,U4,SN74LVC1G17,SOT-23-5_OEM,1,,,,,,,
37,4.5V - 17V Input 1A Synchronous Buck Converter,TPS561201,U3,TPS561201,SOT-23-6_OEM,1,http://www.ti.com/lit/ds/symlink/tps561201.pdf,Value,TPS561201,Digi-Key,https://www.digikey.com/products/en?keywords=296-46928-1-ND,,
38,,micro-match12pin,U1,micro-match12pin,micromatch_female_ra_12,1,,,,,,,
39,"Two pin crystal, two ground/package pins (pin2 and 3) small symbol",Crystal_SMD,Y1,Crystal_SMD,Crystal_SMD_FA238,1,https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238V_en.pdf,Value,SER3686CT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=SER3686CT-ND,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Component Groups:,39,,,,,,,,,,,,
Component Count:,64,,,,,,,,,,,,
Fitted Components:,64,,,,,,,,,,,,
Number of PCBs:,1,,,,,,,,,,,,
Total components:,64,,,,,,,,,,,,
Schematic Version:,,,,,,,,,,,,,
Schematic Date:,,,,,,,,,,,,,
BoM Date:,Thu 22 Feb 2018 12:18:33 PM EST,,,,,,,,,,,,
Schematic Source:,/home/noah/formula/MK_III-Boards/boards/BMS/BMS.sch,,,,,,,,,,,,
KiCad Version:,Eeschema 4.0.7-e2-6376~58~ubuntu14.04.1,,,,,,,,,,,,
