Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Package,MPN,MFN,PurchasingLink,Purchasing Link,Webpage
1,CAP CER 10UF 10V X5R 0805,C_10uF,C4,C_10uF,C_0805_OEM,1,http://datasheets.avx.com/cx5r.pdf,Value,478-5167-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/avx-corporation/0805ZD106KAT2A/478-5167-1-ND/1913257,,
2,CAP CER 1UF 25V X7R 0805,C_1uF,C1,C_1uF,C_0805_OEM,1,http://datasheets.avx.com/X7RDielectric.pdf,Value,478-10487-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/avx-corporation/08053C105JAT2A/478-10487-1-ND/6797628,,
3,LED_0805,LED_0805,D1,LED_0805,LED_0805_OEM,1,http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf,Value,475-1410-1-ND,Digi-Key,https://www.digikey.com/products/en?keywords=475-1410-1-ND,,
4,PTC Fuse 420V 21mA,F_21mA_420V,F1,F_21mA_420V,F_21mA_420V,1,https://en.tdk.eu/inf/55/db/PTC/PTC_OC_Leaded_380V_500V.pdf,,495-75309-ND,Digi-Key,https://www.digikey.com/product-detail/en/epcos-tdk/B59884C0120A070/495-75309-ND/651926,,
5,ULTRAFIT CONN HDR 02CKT,Ultrafit_2,J1 J2,Ultrafit_2,Ultrafit_2,2,,Value,WM11570-ND,Digi-Key,https://www.digikey.com/product-detail/en/molex-llc/1722861102/WM11570-ND/5344267,,
6,CONN FMALE-ON-BRD 4POS VERT T/H,micromatch_female_TOP_ENTRY_locking_4,J3,micromatch_female_TOP_ENTRY_locking_4,micromatch_female_vert_4,1,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=338068&DocType=Customer+Drawing&DocLang=English,Value,338068-4,Digi-Key,https://www.digikey.com/product-detail/en/te-connectivity-amp-connectors/338068-4/A99438CT-ND/1955740,,
7,N-channel MOSFET,NMOS_GSD_30V,Q1,NMOS_GSD_30V,SOT-23,1,https://www.digikey.com/products/en?keywords=SSM3K333RLFCT-ND,Value,SSM3K333RLFCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=SSM3K333RLFCT-ND,,
8,RES SMD 1.43KOHM 0.1% 1/10W 0805,R_1.43k,R12,R_1.43k,R_0805_OEM,1,https://media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/RN73_Series_2011.pdf,,A103351CT-ND,Digi-Key,https://www.digikey.com/product-detail/en/te-connectivity-passive-product/RN73C2A1K43BTDF/A103351CT-ND/2730566,,
9,Res 10k 1%,R_10k,R5 R11,R_10k,R_0805_OEM,2,http://www.bourns.com/data/global/pdfs/CRS.pdf,Value,CRS0805-FX-1002ELFCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND,,
10,Resistor,R_137,R13,R_137,R_0805_OEM,1,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773272&DocType=DS&DocLang=English,,A110460CT-ND,DigiKey,,https://www.digikey.com/product-detail/en/te-connectivity-passive-product/3-2176091-7/A110460CT-ND/4034815,
