Reference, Value, Footprint, Datasheet, MPN, MFN, Package, PurchasingLink, Purchase_Link
"D7","D_Zener_18V","footprints:DO-214AA","http://www.mccsemi.com/up_pdf/SMBJ5338B-SMBJ5388B(SMB).pdf","SMBJ5355B-TPMSCT-ND","Digi-Key","DO-214AA (SMB)","https://www.digikey.com/products/en?keywords=SMBJ5355B-TPMSCT-ND",""
"R4","R_1M","footprints:R_0805_OEM","https://www.seielect.com/Catalog/SEI-rncp.pdf","RMCF0805JT1M00CT-ND","Digi-Key","Value","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT1M00/RMCF0805JT1M00CT-ND/1942600",""
"R7","R_1k","footprints:R_0805_OEM","https://www.seielect.com/Catalog/SEI-rncp.pdf","RNCP0805FTD1K00CT-ND","Digi-Key","Value","https://www.digikey.com/products/en?keywords=RNCP0805FTD1K00CT-ND",""
"R8","R_2.2k","footprints:R_0805_OEM","https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","RMCF0805FT2K20CT-ND","Digi-Key","Value","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805FT2K20/RMCF0805FT2K20CT-ND/1942387",""
"U3","MCP6001RT","footprints:SOT-23-5_OEM","http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf","MCP6001RT-I/OTCT-ND","Digi-Key","Value","https://www.digikey.com/product-detail/en/microchip-technology/MCP6001RT-I-OT/MCP6001RT-I-OTCT-ND/669498",""
"R5","R_1k","footprints:R_0805_OEM","https://www.seielect.com/Catalog/SEI-rncp.pdf","RNCP0805FTD1K00CT-ND","Digi-Key","Value","https://www.digikey.com/products/en?keywords=RNCP0805FTD1K00CT-ND",""
"R14","R_2.2k","footprints:R_0805_OEM","https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","RMCF0805FT2K20CT-ND","Digi-Key","Value","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805FT2K20/RMCF0805FT2K20CT-ND/1942387",""
"R15","R_1k","footprints:R_0805_OEM","https://www.seielect.com/Catalog/SEI-rncp.pdf","RNCP0805FTD1K00CT-ND","Digi-Key","Value","https://www.digikey.com/products/en?keywords=RNCP0805FTD1K00CT-ND",""
"R13","R_1M","footprints:R_0805_OEM","https://www.seielect.com/Catalog/SEI-rncp.pdf","RMCF0805JT1M00CT-ND","Digi-Key","Value","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT1M00/RMCF0805JT1M00CT-ND/1942600",""
"U1","MCP6001RT","footprints:SOT-23-5_OEM","http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf","MCP6001RT-I/OTCT-ND","Digi-Key","Value","https://www.digikey.com/product-detail/en/microchip-technology/MCP6001RT-I-OT/MCP6001RT-I-OTCT-ND/669498",""
"R10","R_1k","footprints:R_0805_OEM","https://www.seielect.com/Catalog/SEI-rncp.pdf","RNCP0805FTD1K00CT-ND","Digi-Key","Value","https://www.digikey.com/products/en?keywords=RNCP0805FTD1K00CT-ND",""
"R16","R_1k","footprints:R_0805_OEM","https://www.seielect.com/Catalog/SEI-rncp.pdf","RNCP0805FTD1K00CT-ND","Digi-Key","Value","https://www.digikey.com/products/en?keywords=RNCP0805FTD1K00CT-ND",""
